GameReviewsId,GameId,positiveRatings,negativeRatings
1359,210870,174,17
1360,210950,541,50
1361,210970,6572,1282
1362,211010,200,46
1363,211160,856,1013
1364,211180,371,28
1365,211260,1965,327
1366,211280,172,120
1367,211340,800,96
1368,211360,449,90
1369,211400,8981,2298
1370,211440,955,149
1371,211500,5204,3571
1372,211580,249,229
1373,211600,1649,148
1374,211740,845,51
1375,211780,376,93
1376,211800,91,28
1377,211820,74162,7816
1378,211900,236,53
1379,211970,144,108
1380,212010,1046,382
1381,212030,803,211
1382,212050,353,30
1383,212070,8647,2796
1384,212110,145,48
1385,212160,3646,1460
1386,212390,892,334
1387,212500,6860,1644
1388,212630,2178,1153
1389,212680,42641,1629
1390,212700,98,89
1391,212780,190,105
1392,212800,5951,702
1393,213030,466,71
1394,213330,969,129
1395,213350,49,43
1396,213390,9,6
1397,213610,4676,913
1398,213650,1327,225
1399,213670,35896,911
1400,213850,3615,773
1401,214100,27,28
1402,214130,88,53
1403,214150,93,91
1404,214170,1432,193
1405,214250,1361,701
1406,214340,7208,840
1407,214360,1176,433
1408,214420,6383,2225
1409,214490,24534,1958
1410,214550,471,122
1411,214570,188,55
1412,214590,882,139
1413,214610,457,79
1414,214630,168,105
1415,214700,934,616
1416,214730,3313,170
1417,214770,4881,338
1418,214790,812,153
1419,214830,1147,172
1420,214870,2240,679
1421,214910,181,208
1422,214950,31864,13423
1423,214970,983,194
1424,215080,4413,1335
1425,215160,1386,134
1426,215280,4420,2106
